user_id,last_login,purchase_amount,recommended_items,clicked_items,subscription_status
1,2026-01-13,0,"['E', 'A']",[],active
2,2026-01-20,0,['A'],['A'],active
3,2026-01-14,247,"['E', 'B']",['E'],churned
4,2026-01-18,173,['E'],['E'],active
5,2026-01-17,83,"['A', 'E', 'C']","['C', 'E', 'A']",active
6,2026-01-03,0,"['E', 'A', 'B']",['E'],active
7,2026-01-19,30,"['E', 'A']","['E', 'A']",active
8,2026-01-23,0,['C'],['C'],active
9,2026-01-21,0,['B'],['B'],active
10,2026-01-08,0,"['B', 'E', 'C']",['B'],churned
11,2026-01-01,0,['D'],[],active
12,2026-01-14,0,"['C', 'A']","['A', 'C']",active
13,2026-01-13,240,"['D', 'E']",[],active
14,2026-01-25,132,"['E', 'C']","['E', 'C']",churned
15,2026-01-16,218,"['D', 'A', 'E']","['A', 'E']",active
16,2026-01-23,0,"['D', 'E']","['D', 'E']",active
17,2026-01-16,243,['C'],[],churned
18,2026-01-24,0,"['C', 'D', 'A']","['A', 'D', 'C']",active
19,2026-01-09,85,['E'],[],active
20,2026-01-20,253,"['C', 'B']",[],active
21,2026-01-23,45,"['E', 'C']","['C', 'E']",active
22,2026-01-12,0,['C'],[],churned
23,2026-01-21,272,"['B', 'C']","['B', 'C']",active
24,2026-01-01,0,"['E', 'D', 'A']","['D', 'A']",active
25,2026-01-21,0,"['B', 'C']",[],active
26,2026-01-08,115,"['A', 'B']",['B'],churned
27,2026-01-11,0,"['A', 'C']",[],active
28,2026-01-26,0,"['E', 'D', 'B']",['D'],active
29,2026-01-25,0,['A'],[],active
30,2026-01-27,0,"['A', 'B']","['B', 'A']",churned
31,2026-01-07,0,"['A', 'B', 'C']",[],active
32,2026-01-18,0,['E'],['E'],churned
33,2026-01-06,0,"['E', 'C', 'D']","['E', 'D', 'C']",active
34,2026-01-21,0,"['A', 'B']",['A'],active
35,2026-01-05,0,"['C', 'E']","['E', 'C']",active
36,2026-01-05,209,['A'],['A'],active
37,2026-01-10,0,['E'],[],churned
38,2026-01-04,99,"['D', 'B', 'A']","['D', 'B']",churned
39,2026-01-07,161,"['E', 'B', 'A']","['B', 'E', 'A']",churned
40,2026-01-18,0,"['C', 'A']",['C'],active
41,2026-01-18,99,"['D', 'A']",[],churned
42,2026-01-07,0,"['E', 'A', 'D']",[],active
43,2026-01-19,0,"['D', 'B']",['D'],active
44,2026-01-19,0,"['B', 'D', 'E']","['D', 'B', 'E']",active
45,2026-01-16,0,"['B', 'D', 'C']",['B'],active
46,2026-01-01,32,['C'],[],active
47,2026-01-19,0,"['D', 'B', 'E']","['E', 'B', 'D']",active
48,2026-01-24,0,"['A', 'B']","['A', 'B']",churned
49,2026-01-11,72,['A'],['A'],churned
50,2026-01-23,233,"['C', 'E']","['E', 'C']",active
